Central,Llave,Coordinado,Grupo reporte,Tipo,Subtipo,Fecha,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23,Hora 24,Hora 25,Total
PFV PAMPA TIGRE,pampa tigre,HUEMUL ENERGÍA SPA,PFV Pampa Tigre,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,21.5,80.02,89.59,90.55,87.97,85.77,83.31,83.03,83.01,81.55,35.31,0.21,0,0,0,0,0,,821.82
PFV PILAR LOS AMARILLOS,PMG PFV Pilar Los Amarillos,RTS ENERGÍA S.A.,PMG PFV Pilar Los Amarillos,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0303643093,0.3912232399,0.8632424926,1.213889404,1.434678314,1.461489624,1.514742126,1.440789276,1.126387955,0.8758978425,0.4287460937,0.0327487831,0,0,0,0,0,0,,10.81419946
PFV PILOTO SOLAR CARDONES,Solar Piloto Cardones,CENTRAL CARDONES S.A.,PMG PFV Piloto Cardones,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0.1,0.06,0.05,0.01,0.07,0.03,0.02,0,0,0,0,0,0,0,0,,0.34
PFV POZO ALMONTE SOLAR II,PFV POZO ALMONTE SOLAR II,POZO ALMONTE SOLAR 2 S.A.,PFV Pozo Almonte Solar II,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.42,2.76,5.81,5.81,5.74,5.77,5.67,5.79,5.89,5.61,3.04,0.05,0,0,0,0,0,,52.36
PFV POZO ALMONTE SOLAR III,PFV POZO ALMONTE SOLAR III,POZO ALMONTE SOLAR 3 S.A.,PFV Pozo Almonte Solar III,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.82,6.65,12.51,12.49,12.4,12.51,11.93,12.05,12.2,11.72,6.56,0.12,0,0,0,0,0,,111.96
PFV PUERTO SECO SOLAR,PFV PUERTO SECO SOLAR,CALAMA SOLAR 2 SPA,PMG PFV Puerto Seco,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,2.31,7.91,8.47,8,7.89,8.03,7.09,7,7,7,4.61,0.12,0,0,0,0,0,,75.43
PFV QUILAPILUN,Quilapilun,CHUNGUNGO S.A.,PFV Quilapilun,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,1.33,30.582,65.869,71.867,70.367,69.568,70.048,71.538,70.813,53.262,16.763,0.051,0,0,0,0,0,,592.058
PFV RIO ESCONDIDO,PFV RÍO ESCONDIDO,CÓNDOR ENERGÍA SPA,PFV Rio Escondido,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,8.52,79.68,120.35,112.24,80.98,101.28,78.44,81.82,88.41,70.23,31.31,0.19,0,0,0,0,0,,853.45
PFV SALVADOR,EL SALVADOR (SOLAR),AELA GENERACIÓN S.A.,PFV Salvador,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,6.52,30.21,35,35.12,35.11,34.35,35.01,34.19,34.86,34.97,18.9,0.32,0,0,0,0,0,,334.56
PFV SAN ANDRES,SAN ANDRES (SOLAR),AELA GENERACIÓN S.A.,PFV San Andres,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,2.4,16.94,27.38,26.9,27.4,27.88,24,23.99,23.99,20.31,4.77,0.07,0,0,0,0,0,,226.03
PFV SAN PEDRO,PFV GPG SAN PEDRO,IBEREÓLICA CABO LEONES II S.A.,PFV San Pedro,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.06,19.81,67.33,82.36,81.62,80.47,80.56,79.04,78.84,78.83,67.34,22.18,0.29,0,0,0,0,0,,738.73
