Central,Llave,Coordinado,Grupo reporte,Tipo,Subtipo,Fecha,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23,Hora 24,Hora 25,Total
PMGD PFV CARACOLES [En_Revision],PMGD PFV CARACOLES,PARQUE SOLAR CARACOLES SPA [En_Revision],PMGD PFV Caracoles,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV CASABERMEJA,PMGD PFV Casabermeja,CARBON FREE CHILE SPA,PMGD PFV Casabermeja,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0828521273,1.713647392,4.218124939,4.40541626,4.338720703,4.240810913,4.2764104,4.38334314,4.131877991,2.847034851,0.6923638554,0.0083801689,0,0,0,0,0,,35.33898274
PMGD PFV CASUTO,Casuto,SOLAR TI DIEZ SPA,PMGD PFV Casuto,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.208316532,1.139695694,1.530664856,1.503594391,1.43644043,1.398689606,1.400229736,1.429878845,1.307239716,0.5353162841,0.081817533,0.0025843081,0,0,0,0,0,,11.97446793
PMGD PFV CATAN SOLAR,Catán Solar,PLANETA INVESTMENTS SPA,PMGD PFV Catán,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0174481197,1.377822678,1.99466391,1.976142273,1.908454376,1.875566498,1.89964917,1.980406616,1.945542206,0.995458168,0.1810513706,0,0,0,0,0,0,,16.15220538
PMGD PFV CATEMU,Catemu,PARQUE SOLAR CATEMU SPA,PMGD PFV Catemu,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0190474497,0.5466460304,1.258867493,1.339071747,1.271204865,1.208488342,1.298310913,1.378880585,1.361967682,0.7645430756,0.0826883345,0.0020955286,0,0,0,0,0,,10.53181205
PMGD PFV CAUQUENES,PMGD PFV Cauquenes,GPG GENERACIÓN DISTRIBUIDA SPA,PMGD PFV Cauquenes,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0331691453,0.2678184204,0.7374983978,1.879734131,1.828229004,1.790589142,1.773323731,0.870031128,0.2935769044,0.1482307282,0.0404566397,0.0001077096,0,0,0,0,0,,9.662765081
PMGD PFV CAÑONES SUNLIGHT,PMGD PFV CAÑONES SUNLIGHT,LOS CAÑONES SUNLIGHT SPA,-,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1438035296,3.64931665,6.819268433,7.093793457,7.099425659,6.815560303,6.758970581,6.977340454,6.696774048,4.149099365,1.340084274,0.0126575468,0,0,0,0,0,,57.5560943
PMGD PFV CENTRAL LLIU LLIU (FOSTER),PMGD PFV Foster,ANDINA SOLAR 6 SPA,PMGD PFV Foster,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0210096403,0.2021628113,0.537093277,0.5054886704,0.9871195679,1.04416861,1.058259583,1.088628449,0.8400575637,0.324146862,0.104210813,0.0003758644,0,0,0,0,0,,6.712721711
PMGD PFV CHACABUCO,Chacabuco,INVERSIONES CHACABUCO SPA,PMGD PFV Chacabuco,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.534885334,3.964654419,7.132246582,7.594993896,7.269628784,7.094295776,7.195925903,7.511382446,7.467036499,4.9212547,1.409598087,0.0151253843,0,0,0,0,0,,62.11102781
PMGD PFV CHALINGA SOLAR,Chalinga,JOAQUÍN SOLAR SPA,PMGD PFV Chalinga,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0294542748,1.026526672,1.967800903,1.96735083,1.898978699,1.857188202,1.867922729,1.647349945,1.780036652,1.315332672,0.2403196535,0.0018063655,0,0,0,0,0,,15.6000676
PMGD PFV CHANCON,Chancon,PV CHANCON SPA,PMGD PFV Chancon,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0729252345,0.9650007934,1.744127594,1.762663208,1.662407379,1.604511658,1.616557983,1.657692871,1.580867371,0.9383473969,0.2002063332,0.0011983306,0,0,0,0,0,,13.80650615
PMGD PFV CHIMBARONGO,PMGD PFV CHIMBARONGO,IEH SOLAR CHILE SPA,PMGD PFV Chimbarongo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0771938815,1.13300296,1.846748535,1.886822907,1.82804248,1.777178955,1.793368561,1.892470001,1.762068329,1.264283279,0.3044303436,0.0019594475,0,0,0,0,0,,15.56756968
PMGD PFV CHUCHIÑI,Chuchiñi,SPV P4 SPA,PMGD PFV Chuchiñi,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0190850397,0.489372776,1.261013031,1.74496109,2.051102387,2.198664246,2.158402405,1.677457611,1.383706757,0.8155299988,0.1858813171,0.0014930843,0,0,0,0,0,,13.98666974
PMGD PFV CIPRES,PFV CIPRES,CIPRÉS SPA,PMGD PFV Cipres,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2214326622,2.666624268,5.437213013,5.868436157,5.861938721,5.772752197,5.985261475,5.838728638,4.858959961,2.644645416,0.6133121185,0.0022885957,0,0,0,0,0,,45.77159322
PMGD PFV CITRINO,Citrino,SOLAR TI ONCE SPA,PMGD PFV Citrino,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1100876955,0.8902555695,1.472490356,1.532640534,1.534038574,1.507258698,1.492824158,1.523594147,1.4402034,1.070844803,0.2636400461,0.0024273975,0,0,0,0,0,,12.84030538
PMGD PFV CKILIR,PMGD PFV Ckilir,CE URIBE DE ANTOFAGASTA SOLAR SPA,PMGD PFV Ckilir,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0015637923,1.466198803,5.721350952,7.620409546,7.923355957,8.112157349,8.077078125,7.689009277,6.277644653,5.085495239,6.866482544,2.480104981,0.0365661096,0,0,0,0,0,,67.35741733
PMGD PFV COCHARCAS,Cocharcas,FOTOVOLTAICA ALFA SPA,PMGD PFV Cocharcas,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0584398015,0.7471867295,1.590425507,1.657027008,1.597991943,1.53158548,1.537284332,1.600718842,1.671222199,1.212608673,0.2603284406,0.0028402975,0,0,0,0,0,,13.46765925
PMGD PFV COINCO [En_Revision],PMGD PFV Coinco,ENERGIA RENOVABLE EBANO SPA [En_Revision],PMGD PFV Coinco,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV COLCHAGUA [En_Revision],PMGD PFV Colchagua,PARQUE SOLAR LO PRADO S.A. [En_Revision],PMGD PFV Colchagua,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1003072335,0.7901887512,1.081763489,1.082498261,1.082456329,1.082598572,1.083429352,1.081733704,1.077095337,0.9740568543,0.2467233524,0.0013968049,0,0,0,0,0,,9.684248039
PMGD PFV COLINA,PMGD PFV Colina,CHACABUCO SOLAR SPA,PMGD PFV Colina,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.4523334776,4.294557983,6.906354004,6.796113037,6.528391602,6.484200195,6.654922363,6.72108374,6.314645752,4.575728699,1.225640885,0.0078647938,0,0,0,0,0,,56.96183653
PMGD PFV COLTAUCO ALMENDRO,PMGD PFV Coltauco Almendro,ACUARIO SOLAR SPA,PMGD PFV Coltauco Almendro,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV CONCON,PMGD PFV Abastible Concon,ABASTIBLE S.A.,PMGD PFV Abastible Concon,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV CONDOR CHEPICA [En_Revision],PMGD PFV Condor Chepica,PARQUE FOTOVOLTAICO CHEPICA SPA [En_Revision],PMGD PFV Condor Chepica,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0241095151,0.3567155303,0.7234823455,0.7462063141,0.7518367614,0.7462319183,0.7562200164,0.7648186494,0.7283211059,0.4112101823,0.0833758507,0.0011848004,0,0,0,0,0,,6.09371299
PMGD PFV CONDOR PELVIN,PMGD PFV Condor Pelvin,ENERGÍAS RENOVABLES HOLDING S.A.,PMGD PFV Condor Pelvin,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.107296081,0.661380127,1.44374292,1.508028015,1.592556152,1.749894287,1.815205048,1.872467377,1.752685913,1.322012329,0.3133860807,0.0024226537,0,0,0,0,0,,14.14107698
PMGD PFV CONDOR PETORCA [EN_REVISION],PMGD PFV Condor Petorca,PARQUE FOTOVOLTAICO LOS BOLDOS SPA [EN_REVISION],PMGD PFV Condor Petorca,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.049659107,0.4191938629,0.71746698,0.7246722565,0.7114132996,0.700055481,0.7127483673,0.7195954131,0.6513488159,0.3840636101,0.0408932668,0.000575267,0,0,0,0,0,,5.831685727
PMGD PFV CORDILLERILLA SOLAR,Solar Cordillerilla,TEATINOS ENERGÍA S.A.,PMGD PFV Cordillerilla,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV CORTIJO,PMGD PFV CORTIJO,APOLO SOLAR SPA,PMGD PFV Cortijo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1090659276,0.6455920028,1.34026648,1.873084992,3.570259644,8.713832397,9.000854492,8.816904785,7.03745459,4.396460022,1.193232185,0.0096414471,0,0,0,0,0,,46.70664896
PMGD PFV COVADONGA,Covadonga,CHUNGUNGO SOLAR SPA,PMGD PFV Covadonga,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.6901103682,5.008609863,7.982930908,8.223982422,8.384627442,8.258573731,8.381447266,7.962802856,7.855557007,6.568776489,2.394694443,0.0293858881,0,0,0,0,0,,71.74149868
PMGD PFV CRUCERO,Crucero,CARBON FREE CHILE SPA,PMGD PFV Crucero,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0964348669,1.097618759,1.823631836,1.837277252,1.78517569,1.738883057,1.745985016,1.809698456,1.71403717,1.295121613,0.2792795048,0,0,0,0,0,0,,15.22314322
PMGD PFV CRUZ SOLAR,Cruz Solar,SOLAR E SPA,PMGD PFV Cruz,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0000003689,0.183084438,1.711393768,2.363773316,2.343696045,2.257729431,2.218372376,2.245301453,2.344730835,2.307506897,1.649298798,0.6098398419,0.0050056372,0,0,0,0,0,,20.2397332
PMGD PFV CURACAVI,PMGD PFV CURACAVI,PARQUE FOTOVOLTAICO CURACAVÍ SPA,PMGD PFV Curacavi,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0903814309,1.216776108,1.887459778,1.883957733,1.826829498,1.777170075,1.789072815,1.851048706,1.780417023,1.453570862,0.2633795032,0.0046669521,0,0,0,0,0,,15.82473048
PMGD PFV CUZ CUZ,CUZ CUZ,PARQUE SOLAR CUZ CUZ SPA,PMGD PFV Cuz Cuz,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.08669977,0.9897977753,1.777595459,1.917120606,1.985198395,1.997582336,1.978431488,1.84649408,1.698502991,1.203813095,0.2102393055,0.0003923121,0,0,0,0,0,,15.69186761
PMGD PFV DADINCO,Dadinco,ENEL GREEN POWER CHILE S.A.,PMGD PFV Dadinco,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1307700226,1.219931564,1.769604889,1.76201416,1.696536285,1.63197168,1.655352234,1.726063904,1.821197327,1.459769989,0.3124619932,0.0016767205,0,0,0,0,0,,15.18735077
PMGD PFV DARLIN SOLAR,Darlin,PMGD DARLIN SPA,PMGD PFV Darlin,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.3523847821,3.161366455,5.730008911,5.906240479,5.69820105,5.643390747,5.753050781,6.006328613,6.037033936,3.554002747,0.9993226413,0.0051354213,0,0,0,0,0,,48.84646656
PMGD PFV DIEGO DE ALMAGRO SOLAR,PMGD PFV Diego de Almagro,DIEGO DE ALMAGRO SOLAR SPA,PMGD PFV Diego de Almagro,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0023008335,0.4115644913,5.527510254,6.90062207,6.895693726,6.761330566,6.687483399,6.860529419,6.678100098,7.009546021,6.335224609,3.125444473,0.0310397921,0,0,0,0,0,,63.22638975
PMGD PFV DON ANDRONICO,DON ANDRÓNICO,PARQUE SOLAR CANCHA SPA,PMGD PFV Don Andrónico,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1198742159,0.5809690628,1.379585556,1.711419525,1.683154266,1.674510864,1.662582123,1.719354919,1.609435944,1.053003433,0.1942017108,0.0019277498,0,0,0,0,0,,13.39001937
PMGD PFV DON ENRIQUE,PMGD PFV Don Enrique,FONTUS PRIME SOLAR SPA,PMGD PFV Don Enrique,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2529721191,1.097740799,1.985800598,4.301607361,5.522628662,5.495371948,6.466103882,5.026970459,4.02362616,3.050193298,0.5868805886,0.0167569836,0,0,0,0,0,,37.82665286
PMGD PFV DON EUGENIO,Don Eugenio,IEH SOLAR CHILE SPA,PMGD PFV Don Eugenio,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0309011147,0.5968444061,1.671279144,1.705722595,1.648618652,1.354972961,1.646080902,1.7345867,1.665728851,1.294211182,0.2814961911,0.0016229185,0,0,0,0,0,,13.63206562
PMGD PFV DON JORGE (EX PERALILLO),Don Jorge,BETEL SPA,PMGD PFV Don Jorge,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1442952156,1.502163086,2.322034241,2.334679138,2.278121216,2.242614319,2.271006104,2.363460693,2.223708252,1.794833893,0.3739396877,0.0043741266,0,0,0,0,0,,19.85522997
PMGD PFV DON MARIANO,Don Mariano,DON MARIANO ENERGY SPA,PMGD PFV Don Mariano,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0221545702,0.6871344156,1.780102814,1.837039276,1.767982819,1.775068298,1.757547668,1.811365601,1.79571286,1.348868652,0.3909896316,0.002377228,0,0,0,0,0,,14.97634383
PMGD PFV DON MARTIN,PMGD PFV Don Martín,PARQUE SOLAR ALBOR SPA,PMGD PFV Don Martín,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0126939626,0.2042056693,0.193433258,0.317432663,0.801171051,1.731426422,1.750129181,1.808657501,1.827429749,1.507994354,0.407698429,0.0041951454,0,0,0,0,0,,10.56646739
PMGD PFV DON RODRIGO [En_Revision],PMGD PFV Don Rodrigo,MVC SOLAR 44 SPA [En_Revision],PMGD PFV Don Rodrigo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0899541683,0.6431637192,1.120647156,1.554614136,1.885137268,2.024733826,1.991029022,1.679118713,1.134292328,0.613842163,0.2146124763,0.0038030817,0,0,0,0,0,,12.95494806
PMGD PFV DOÑIHUE,Doñihue,PV DOÑIHUE SPA,PMGD PFV Doñihue,Solar,Solar,2023-04-20,0,0,0,0,0,0.0008488189,0.794917778,4.432763794,5.656782105,5.585769165,5.315860229,5.346514771,5.509093628,5.653722534,5.094565552,3.091725281,0.5873314924,0,0,0,0,0,0,0,,47.06989515
PMGD PFV DUQUECO SOLAR,PMGD PFV Duqueco Solar,COCHARCAS SOLAR SPA,PMGD PFV Duqueco Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0470270966,0.5716765671,0.5873826752,1.186128235,3.759206848,6.391672119,6.220458618,6.396178223,6.456360352,5.220962891,1.404177788,0.0163950515,0,0,0,0,0,,38.25762646
PMGD PFV ECLIPSE SOLAR,Eclipse Solar,ECLIPSE SOLAR SPA,PMGD PFV Eclipse,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0354933006,0.5059243698,2.25260968,3.751533142,3.114873779,3.769871643,6.732001221,5.957605591,3.585645386,2.19875856,0.3307059402,0.0000361922,0,0,0,0,0,,32.23505881
PMGD PFV EL BOCO,EL BOCO,SOCIEDAD BOCO SOLAR SPA,PMGD PFV El Boco,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0544323504,0.3836315842,0.7539138946,1.707973877,4.606947205,5.698707886,5.884455811,5.66953479,4.557403442,2.542988464,0.4836622582,0.0030531256,0,0,0,0,0,,32.34670469
PMGD PFV EL CASTAÑO,PMGD PFV El Castaño,EL CASTAÑO SPA,PMGD PFV El Castaño,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1058252549,1.922014687,4.978761719,5.284655273,5.289118652,5.25010315,5.30002771,5.49934082,5.394995606,3.932720581,1.055076767,0.010876547,0,0,0,0,0,,44.02351677
PMGD PFV EL CERNICALO,Cernicalo 1,PV EL CERNÍCALO SPA,PMGD PFV El Cernicalo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0392604851,0.5313506623,1.086024216,1.128679047,1.06463089,1.005036942,1.014086273,1.069893341,1.120902466,0.8734763031,0.2523634481,0.0041072439,0,0,0,0,0,,9.189811316
PMGD PFV EL CERNICALO II,Cernicalo 2,PV EL CERNÍCALO SPA,PMGD PFV El Cernicalo II,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.031730536,0.4552060128,1.005287323,1.049809174,0.9907564087,0.9375157624,0.9460476533,0.9958821869,1.043312592,0.7981470795,0.2435415841,0.0032265621,0,0,0,0,0,,8.500462874
PMGD PFV EL CHINCOL,El Chinchol,PV EL CHINCOL SPA,PMGD PFV El Chincol,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0557162605,0.9106990585,1.976210571,2.081133057,2.030157013,1.995458985,2.044396454,2.176205383,1.921953919,0.980526413,0.2072773637,0.004464264,0,0,0,0,0,,16.38419874
PMGD PFV EL CHUCAO,PFV El Chucao,PFV EL CHUCAO SPA,PMGD PFV El Chucao,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.019133001,0.2367730293,1.103104508,1.624422089,1.524780273,1.45341687,1.503992462,1.505717865,1.25176712,0.7569594803,0.1662825079,0.0022720788,0,0,0,0,0,,11.14862128
PMGD PFV EL CONDOR,El Condor,PFV EL CÓNDOR SPA,PMGD PFV El Cóndor,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0555138509,0.4927079925,0.8177961425,0.8222389526,0.793255539,0.7762985993,0.7800563964,0.8074970855,0.7589373168,0.4448886033,0.0973104657,0.0010303015,0,0,0,0,0,,6.647531246
PMGD PFV EL DIVISADERO,PMGD PFV EL DIVISADERO,DIVISADERO S.A.,PMGD PFV El Divisadero,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.020271904,0.426271019,1.199616333,1.206131195,1.19913327,0.9841157073,1.417889618,1.180585724,0.9685866699,0.6198395538,0.1063471512,0.0000207644,0,0,0,0,0,,9.32880891
PMGD PFV EL ESTERO,Estero,FOTOVOLTAICA EL MANZANO SPA,PMGD PFV El Estero,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0349199915,0.6148150864,1.21088205,1.382399841,1.371658447,1.276708893,1.328862305,1.401878662,1.332210541,0.9045687561,0.1913241476,0,0,0,0,0,0,,11.05022872
PMGD PFV EL FLAMENCO,PFV PMGD El Flamenco,PFV EL FLAMENCO SPA,PMGD PFV El Flamenco,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.3557763041,3.108562103,5.129404297,5.433578369,5.458093872,5.45328186,5.475905518,5.373524414,4.670244995,2.500697296,0.7256029472,0.003586771,0,0,0,0,0,,43.68825875
PMGD PFV EL GUANACO SOLAR,PMGD PFV Guanaco Solar,INCAHUASI ENERGY SPA,PMGD PFV Guanaco Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.3989384906,3.238251556,6.045567505,6.466131592,6.535504639,6.50978833,6.64369873,6.828268555,6.418314209,4.545774536,1.096977482,0.0096487112,0,0,0,0,0,,54.73686434
PMGD PFV EL HUASO,PMGD PFV El Huaso,PARQUE SOLAR SALAMANCA SPA,PMGD PFV El Huaso,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0374275487,0.5255317383,1.191698059,1.618859497,1.688519012,1.649198578,1.668247711,1.629275177,1.220486237,0.5357165223,0.0865307484,0.0022606635,0,0,0,0,0,,11.85375149
PMGD PFV EL LAUREL,El Laurel,LAUREL SPA,PMGD PFV El Laurel,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1298463835,1.423898758,3.596472412,4.009871521,4.109719605,4.12029657,4.203626221,4.287853272,4.027107544,2.64241864,0.67731884,0.0024033167,0,0,0,0,0,,33.23083308
PMGD PFV EL LITRE SOLAR,El Litre,CEDARS SOLAR SPA,PMGD PFV El Litre,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.4173526335,3.904903198,6.551988037,6.59481897,6.29764978,6.147488892,6.275202515,6.498310303,6.410932617,4.693558594,1.399257912,0.0064602966,0,0,0,0,0,,55.19792375
PMGD PFV EL MONTE,PMGD PFV El Monte,CALLAQUI DE VERANO SPA,PMGD PFV El Monte,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1171481395,1.04420723,1.824776947,1.924699371,1.961842316,1.956328339,1.96776944,1.981927826,1.800577637,1.124345154,0.2383168278,0.0018708773,0,0,0,0,0,,15.9438101
PMGD PFV EL PICHON [EN_REVISION],PMGD PFV Pichon,PFV EL PICHON SPA [EN_REVISION],PMGD PFV Pichon,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0.0104028563,0.0146554165,0.0142597317,0.0215475381,0.0476041022,0.0750496235,0.088008402,0.0634737721,0.0341294441,0.006323208,0,0,0,0,0,0,,0.3754540945
PMGD PFV EL PICURIO,El Picurio,PV EL PICURIO SPA,PMGD PFV El Picurio,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1260447563,1.187353531,1.995611664,2.026266846,1.944384857,1.886189087,1.917807617,2.023517303,1.942269196,1.477596832,0.3375055027,0.0033367221,0,0,0,0,0,,16.86788391
PMGD PFV EL PILPEN,El Pilpen,PV EL PILPEN SPA,PMGD PFV El Pilpen,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.14760887,0.4230435486,1.042173699,2.201655884,2.143482056,2.084948547,2.107737671,2.178943665,2.123459503,1.753737244,0.4049487304,0.0034607625,0,0,0,0,0,,16.61520018
PMGD PFV EL PITIO,EL PITIO SOLAR,PV EL PITIO SPA,PMGD PFV El Pitio,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0598993128,0.5690785752,1.926595581,2.010247284,1.958149994,1.934206512,1.98562735,1.963575745,1.622535461,0.9754172364,0.2073625612,0.0029794574,0,0,0,0,0,,15.21567507
PMGD PFV EL PIUQUEN,El Piuquen,PFV EL PIUQUEN SPA,PMGD PFV El Piuquen,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0297887124,0.2262029191,0.4496953202,1.603801239,2.040468994,1.969128754,1.928049652,1.937288788,1.911762665,1.589196258,0.4318800449,0.0062225167,0,0,0,0,0,,14.12348586
PMGD PFV EL QUELTEHUE,El Queltehue,PV EL QUELTEHUE SPA,PMGD PFV El Queltehue,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1437806524,0.5606200256,1.305730621,2.168904419,2.114399902,2.049769592,2.07796521,2.144817322,2.044231506,1.684203522,0.4290761643,0.003090004,0,0,0,0,0,,16.72658894
PMGD PFV EL QUEMADO,EL QUEMADO,REDEN CABILDO SOLAR SPA,PMGD PFV El Quemado,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1910559736,1.342482101,1.839591888,1.822993805,1.730151245,0.0638031693,1.561120575,1.829412903,1.800295471,1.441238281,0.3405572075,0.0007436002,0,0,0,0,0,,13.96344622
PMGD PFV EL QUEULE,El Queule,EL QUEULE SPA,PMGD PFV El Queule,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.074349609,0.8402219391,2.978819458,3.15485553,2.796728424,1.814858215,2.862632263,3.149354492,2.965015503,2.302578125,0.554546648,0.0021792557,0,0,0,0,0,,23.49613946
PMGD PFV EL RESPLANDOR,El Resplandor,IMPULSO SOLAR EL RESPLANDOR SPA,PMGD PFV El Resplandor,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0125058554,0.1221405506,0.2187809486,0.3175323791,0.8152185592,1.618744507,1.603266174,1.650847992,1.634972992,1.316568665,0.3662162857,0.0047734294,0,0,0,0,0,,9.681568338
PMGD PFV EL ROBLE,EL ROBLE,CHESTER SOLAR IV SPA,PMGD PFV El Roble,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0274160881,0.4158640747,1.470491196,4.347259094,5.267214478,5.53543689,5.725751343,5.745337402,5.403403198,3.582747253,0.3984136008,0.002192996,0,0,0,0,0,,37.92152761
PMGD PFV EL ROMERAL,EL ROMERAL,CARBON FREE CHILE SPA,PMGD PFV El Romeral,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.3098007575,3.028810516,5.62115564,5.83934668,5.648445679,5.585149902,5.592104492,5.920023682,5.656355957,3.881518677,0.9818226777,0.0115376616,0,0,0,0,0,,48.07607232
PMGD PFV EL SALITRAL,PFV EL SALITRAL,PSF EL SALITRAL S.A.,PMGD PFV El Salitral,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2619688397,1.860234039,2.439714539,2.22988382,2.031884888,1.95938974,2.016728546,2.041214874,1.863916077,0.8271302795,0.2079885273,0.0074828077,0,0,0,0,0,,17.74753698
PMGD PFV EL SAUCE,EL SAUCE SOLAR,CHESTER SOLAR V SPA,PMGD PFV El Sauce,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0445883594,0.3820121002,1.404580612,2.046799225,1.960676666,1.851295868,1.761976654,1.484516541,1.823788055,1.106306595,0.153787756,0.0015191661,0,0,0,0,0,,14.0218476
PMGD PFV EL TIUQUE,PMGD PFV El Tiuque,PFV EL TIUQUE SPA,PMGD PFV El Tiuque,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0200519222,0.2876131782,0.5723162002,0.6585977021,0.6996255341,0.7495374299,0.7847563325,0.7595372162,0.6171660156,0.3094432106,0.0954918994,0.0005095172,0,0,0,0,0,,5.554646158
PMGD PFV EL ZORZAL,PMGD PFV El Zorzal,PFV EL ZORZAL SPA,PMGD PFV El Zorzal,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0533080915,0.7326743393,1.582270966,1.728226837,1.70281839,1.708562042,1.783910706,1.717979279,1.539686066,1.125004807,0.3258010292,0.0054487136,0,0,0,0,0,,14.00569126
PMGD PFV ENCINO [En_Revision],PMGD PFV ENCINO,ENERGIA RENOVABLE ENCINO SPA [En_Revision],PMGD PFV Encino,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0533766187,0.8541098022,1.519286316,1.528067139,1.446872681,1.410138916,1.410538788,1.443885101,1.397557007,0.7783959274,0.2151937742,0.0019419439,0,0,0,0,0,,12.05936401
PMGD PFV ENCON SOLAR,Encon Solar I,CARBON FREE CHILE SPA,PMGD PFV Encon,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2196762686,2.454253754,4.585691895,4.546916626,4.393018311,4.269165039,4.34072168,4.558578247,4.545831299,2.766419769,0.7503974571,0.00419485,0,0,0,0,0,,37.43486519
PMGD PFV ERINOME,PMGD PFV Erinome,LUCIANO SOLAR SPA,PMGD PFV Erinome,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0491935231,0.5137402497,1.323013077,1.789470062,1.771189026,1.74959317,1.787791138,1.797665222,1.483887482,0.8121641693,0.19724714,0.002146713,0,0,0,0,0,,13.27710097
